,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,43,71,44,91,1,48,10,34,342
2880-3360,51,77,51,140,6,51,12,38,426
3360-3840,67,66,35,116,10,46,17,48,405
3840-4320,48,78,50,126,6,46,11,29,394
4320-4800,49,70,43,109,5,44,13,40,373
4800-5280,45,89,45,101,5,30,12,35,362
5280-5760,41,94,38,91,6,36,11,44,361
5760-6240,55,90,46,115,8,44,13,39,410
6240-6720,53,109,63,127,8,58,33,74,525
6720-7200,59,116,65,134,10,65,29,64,542
7200-7680,63,106,70,154,17,46,37,72,565
7680-8160,61,128,72,145,15,62,45,94,622
8160-8640,51,138,80,141,13,95,42,117,677
8640-9120,59,165,64,132,16,106,45,104,691
9120-9600,72,151,75,154,22,128,30,82,714
